127.0.0.1 - - [24/Nov/2020:14:09:21 -0800] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:31 -0800] "GET /CS157A-01/login.html HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:31 -0800] "GET /CS157A-01/js/login.js HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:31 -0800] "GET /CS157A-01/css/login.css HTTP/1.1" 200 5175
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:33 -0800] "GET /CS157A-01/images/bg.jpg HTTP/1.1" 200 312684
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:36 -0800] "POST /CS157A-01/login.jsp HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:37 -0800] "GET /CS157A-01/index.jsp?username=king HTTP/1.1" 200 6562
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:37 -0800] "GET /CS157A-01/css/style.css HTTP/1.1" 200 130683
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:37 -0800] "GET /CS157A-01/css/colors/green.css HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:37 -0800] "GET /CS157A-01/css/base.css HTTP/1.1" 200 7447
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:37 -0800] "GET /CS157A-01/css/responsive.css HTTP/1.1" 200 12822
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:37 -0800] "GET /CS157A-01/css/font-awesome.css HTTP/1.1" 200 26651
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:39 -0800] "GET /CS157A-01/recipe.jsp?username=king&recipeid=12 HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:43 -0800] "GET /CS157A-01/recipe.jsp?username=king&recipeid=7 HTTP/1.1" 200 3692
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:09:47 -0800] "GET /CS157A-01/recipe.jsp?username=king&recipeid=6 HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/browse-recipes.jsp?username=king HTTP/1.1" 200 15310
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/jquery-1.11.0.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/jquery-migrate-1.2.1.min.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/jquery.superfish.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/jquery.royalslider.min.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/responsive-nav.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/hoverIntent.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/isotope.pkgd.min.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/jquery.tooltips.min.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/chosen.jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/jquery.magnific-popup.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/custom.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/switcher.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/jquery.pricefilter.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:43 -0800] "GET /CS157A-01/scripts/jquery-migrate-1.2.1.min.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/jquery.superfish.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/jquery.royalslider.min.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/responsive-nav.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/hoverIntent.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/isotope.pkgd.min.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/chosen.jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/jquery.tooltips.min.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/jquery.magnific-popup.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/jquery.pricefilter.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/custom.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/switcher.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/images/switcher.png HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/submit-recipe.jsp?username=king HTTP/1.1" 200 9616
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/jquery-migrate-1.2.1.min.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/jquery-1.11.0.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/jquery.superfish.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/jquery.royalslider.min.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/jquery-ui.min.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/hoverIntent.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/responsive-nav.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/isotope.pkgd.min.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/jquery.sceditor.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [24/Nov/2020:14:10:44 -0800] "GET /CS157A-01/scripts/chosen.jquery.min.js HTTP/1.1" 404 797
