127.0.0.1 - - [28/Nov/2020:15:10:06 -0800] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:10:46 -0800] "GET /CS157A-01/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:10:46 -0800] "GET /CS157A-01/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:10:54 -0800] "POST /CS157A-01/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:10:54 -0800] "GET /CS157A-01/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:10:57 -0800] "POST /CS157A-01/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:10:57 -0800] "GET /CS157A-01/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:03 -0800] "POST /CS157A-01/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:03 -0800] "GET /CS157A-01/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:06 -0800] "POST /CS157A-01/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:06 -0800] "GET /CS157A-01/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:08 -0800] "POST /CS157A-01/login.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:10 -0800] "GET /CS157A-01/index.jsp?username=1 HTTP/1.1" 200 8101
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:16 -0800] "GET /CS157A-01/recipe.jsp?username=1&recipeid=44 HTTP/1.1" 200 5887
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:16 -0800] "GET /CS157A-01/scripts/jquery.sceditor.bbcode.min.js HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:16 -0800] "GET /CS157A-01/scripts/jquery.sceditor.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:16 -0800] "GET /CS157A-01/scripts/jquery.sceditor.bbcode.min.js HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:16 -0800] "GET /CS157A-01/scripts/jquery.sceditor.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:22 -0800] "POST /CS157A-01/rate.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:23 -0800] "GET /CS157A-01/index.jsp?username=1 HTTP/1.1" 200 8101
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:25 -0800] "GET /CS157A-01/recipe.jsp?username=1&recipeid=44 HTTP/1.1" 200 6006
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:25 -0800] "GET /CS157A-01/scripts/jquery.sceditor.bbcode.min.js HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:25 -0800] "GET /CS157A-01/scripts/jquery.sceditor.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:25 -0800] "GET /CS157A-01/scripts/jquery.sceditor.bbcode.min.js HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:25 -0800] "GET /CS157A-01/scripts/jquery.sceditor.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:44 -0800] "GET /CS157A-01/recipe.jsp?username=1&recipeid=39 HTTP/1.1" 200 5915
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:44 -0800] "GET /CS157A-01/scripts/jquery.sceditor.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:44 -0800] "GET /CS157A-01/scripts/jquery.sceditor.bbcode.min.js HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:44 -0800] "GET /CS157A-01/scripts/jquery.sceditor.bbcode.min.js HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:44 -0800] "GET /CS157A-01/scripts/jquery.sceditor.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:46 -0800] "GET /CS157A-01/recipe.jsp?username=1&recipeid=40 HTTP/1.1" 200 5924
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:46 -0800] "GET /CS157A-01/scripts/jquery.sceditor.bbcode.min.js HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:46 -0800] "GET /CS157A-01/scripts/jquery.sceditor.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [28/Nov/2020:15:11:46 -0800] "GET /CS157A-01/scripts/jquery.sceditor.bbcode.min.js HTTP/1.1" 404 806
